表52：消費物價指數 （2019年10月至2020年9月＝100）,,,,,,,,,
,,,,,,,,,
,,綜合消費物價指數,綜合消費物價指數,甲類消費物價指數,甲類消費物價指數,乙類消費物價指數,乙類消費物價指數,丙類消費物價指數,丙類消費物價指數
,,指數,按年變動百分率,指數,按年變動百分率,指數,按年變動百分率,指數,按年變動百分率
年,月,,,,,,,,
1975,,N.A.,N.A.,12.7,N.A.,13.2,N.A.,11.9,N.A.
1976,,N.A.,N.A.,13.1,3.4,13.7,4.0,12.5,4.4
1977,,N.A.,N.A.,13.9,5.8,14.4,5.5,13.1,5.0
1978,,N.A.,N.A.,14.7,5.9,15.3,5.9,13.8,5.8
1979,,N.A.,N.A.,16.4,11.6,17.0,11.5,15.5,12.4
1980,,N.A.,N.A.,18.9,15.5,19.6,15.1,17.9,14.9
1981,,21.4,N.A.,21.6,15.4,22.3,14.8,20.2,14.5
1982,,23.8,10.9,23.9,10.5,24.6,10.6,22.5,11.7
1983,,26.1,10.0,26.2,9.9,27.1,9.9,24.8,10.3
1984,,28.4,8.6,28.4,8.1,29.4,8.5,27.1,9.1
1985,,29.4,3.5,29.3,3.2,30.4,3.5,28.2,4.0
1986,,30.4,3.8,30.1,2.8,31.4,3.5,29.5,5.3
1987,,32.1,5.7,31.8,5.5,33.0,5.3,31.4,6.4
1988,,34.7,7.8,34.2,7.5,35.5,7.4,34.1,8.7
1989,,38.2,10.3,37.6,10.1,38.9,9.7,37.9,11.0
1990,,42.1,10.2,41.3,9.8,42.7,9.7,42.1,11.2
1991,,46.9,11.6,46.1,12.0,47.5,11.6,46.7,11.1
1992,,51.3,9.6,50.4,9.4,52.1,9.6,51.3,9.8
1993,,55.9,8.8,54.7,8.5,56.6,8.7,56.1,9.5
1994,,60.8,8.8,59.1,8.1,61.5,8.6,61.7,10.0
1995,,66.3,9.1,64.2,8.7,67.1,9.2,67.5,9.6
1996,,70.5,6.3,68.1,6.0,71.4,6.4,71.9,6.6
1997,,74.6,5.8,72.0,5.7,75.5,5.8,76.3,6.1
1998,,76.7,2.8,73.8,2.6,77.6,2.8,78.7,3.2
1999,,73.6,-4.0,71.5,-3.3,74.0,-4.7,75.8,-3.7
2000,,70.9,-3.8,69.3,-3.0,71.1,-3.9,72.4,-4.5
2001,,69.8,-1.6,68.2,-1.7,69.9,-1.6,71.3,-1.5
2002,,67.6,-3.0,66.0,-3.2,67.8,-3.1,69.3,-2.8
2003,,65.9,-2.6,64.6,-2.1,65.9,-2.7,67.3,-2.9
2004,,65.6,-0.4,64.6,0.0 [φ3],65.6,-0.5,66.8,-0.9
2005,,66.2,1.0,65.3,1.1,66.3,1.0,67.3,0.8
2006,,67.6,2.0,66.4,1.7,67.7,2.1,68.8,2.2
2007,,68.9,2.0,67.2,1.3,69.1,2.2,70.6,2.7
2008,,71.9,4.3,69.6,3.6,72.3,4.6,74.0,4.7
2009,,72.3,0.5,70.0,0.4,72.7,0.5,74.4,0.6
2010,,74.0,2.4,71.8,2.7,74.4,2.3,76.0,2.1
2011,,77.9,5.3,75.8,5.6,78.2,5.2,79.9,5.1
2012,,81.1,4.1,78.5,3.6,81.6,4.3,83.2,4.1
2013,,84.6,4.3,82.5,5.1,85.0,4.1,86.3,3.8
2014,,88.3,4.4,87.1,5.6,88.5,4.2,89.4,3.5
2015,,91.0,3.0,90.6,4.0,91.0,2.9,91.2,2.1
2016,,93.2,2.4,93.2,2.8,93.1,2.3,93.1,2.1
2017,,94.6,1.5,94.6,1.5,94.4,1.4,94.6,1.5
2018,,96.8,2.4,97.2,2.7,96.6,2.3,96.7,2.2
2019,,99.6,2.9,100.5,3.3,99.2,2.7,99.1,2.6
2020,,99.9,0.3,99.8,-0.6,99.8,0.6,99.9,0.8
2021,,101.4,1.6,102.7,2.9,100.8,1.0,100.8,0.9
1974,7,N.A.,N.A.,12.6,N.A.,13.0,N.A.,11.8,N.A.
1974,8,N.A.,N.A.,12.5,N.A.,12.9,N.A.,11.8,N.A.
1974,9,N.A.,N.A.,12.5,N.A.,13.0,N.A.,11.8,N.A.
1974,10,N.A.,N.A.,12.8,N.A.,13.2,N.A.,11.9,N.A.
1974,11,N.A.,N.A.,12.8,N.A.,13.2,N.A.,11.9,N.A.
1974,12,N.A.,N.A.,12.5,N.A.,13.0,N.A.,11.8,N.A.
1975,1,N.A.,N.A.,12.4,N.A.,12.9,N.A.,11.7,N.A.
1975,2,N.A.,N.A.,12.6,N.A.,13.1,N.A.,11.8,N.A.
1975,3,N.A.,N.A.,12.5,N.A.,13.0,N.A.,11.8,N.A.
1975,4,N.A.,N.A.,12.4,N.A.,13.0,N.A.,11.8,N.A.
1975,5,N.A.,N.A.,12.5,N.A.,13.1,N.A.,11.9,N.A.
1975,6,N.A.,N.A.,12.8,N.A.,13.3,N.A.,12.0,N.A.
1975,7,N.A.,N.A.,12.6,0.0 [φ3],13.1,0.5,11.9,0.6
1975,8,N.A.,N.A.,12.6,1.4,13.1,1.5,11.9,1.3
1975,9,N.A.,N.A.,12.8,2.8,13.3,2.6,12.0,1.9
